epoch,acc,loss,val_acc,val_loss
0,0.091814285719394678,2.8136066802433559,0.098733333325386044,2.7693244037628175
1,0.10295714284692492,2.7191657728467669,0.14683333333333334,2.5164368381500246
2,0.17298571429252624,2.3621973564692906,0.25796666665077211,2.0837591997146605
3,0.27474285715648106,1.9787458347320557,0.41050000001589459,1.6860765329996745
4,0.40315714285033089,1.6355548765727452,0.57096666666666662,1.3030784171422323
5,0.54180000001362394,1.3190028252737862,0.70579999996821086,0.99891576611200972
6,0.65358571425846645,1.0637215042931694,0.79383333330154415,0.7574682238578796
7,0.72578571431296213,0.8816918678011213,0.83296666669845576,0.61814974533716838
8,0.77608571431296214,0.74457572178159437,0.86926666666666663,0.48979023454984028
9,0.81225714281627115,0.63874049377441411,0.88386666669845582,0.4200986056804657
10,0.83511428575515745,0.56841837722233368,0.88920000003178912,0.39924344868659972
11,0.85279999995912825,0.50594877288682116,0.90510000000000002,0.3364800046126048
12,0.86658571431296216,0.46335324042184012,0.91246666666666665,0.31626300505002342
13,0.87874285715648104,0.42353176696641104,0.91856666666666664,0.30221654953956606
14,0.88882857140132354,0.38788558182035171,0.91810000003178915,0.30027705489794415
15,0.89718571425846649,0.36445350177628655,0.92533333333333334,0.26880676763852435
16,0.9039571428571429,0.33817907499245237,0.92866666663487751,0.25087583912213646
17,0.9096571428843907,0.32213903303827557,0.92683333333333329,0.26356632310549416
18,0.91297142858505254,0.30492732520784649,0.93233333333333335,0.24636888877550761
19,0.91612857144219539,0.28929555642264232,0.93310000000000004,0.24174936655362447
20,0.92154285711560935,0.27418189585549491,0.93660000003178911,0.23084143988291422
21,0.92635714285714288,0.26078239618710108,0.94103333330154415,0.2166582126935323
22,0.93001428567341393,0.24858820227214268,0.93486666666666662,0.24143759508132934
23,0.93275714281627109,0.23753213653223856,0.94169999999999998,0.21113574105898539
24,0.93442857140132363,0.23150889522007534,0.94323333336512249,0.20909601953824361
25,0.93722857146944316,0.22003086755275728,0.9439000000317892,0.20578928629557292
26,0.93958571427209037,0.21225430948053087,0.93909999996821081,0.23428022128740947
27,0.94218571424484254,0.20417837245123727,0.94576666666666664,0.2002343755086263
28,0.94297142855780469,0.19869874030521939,0.94726666663487757,0.19698100758393605
29,0.94522857145581929,0.19216470002106259,0.9468000000317891,0.2040923992474874
30,0.94742857141494752,0.18706100839546749,0.94983333333333331,0.18721432120005291
31,0.94844285711560927,0.17824116079126084,0.94679999999999997,0.20554418846766154
32,0.94979999997275211,0.173031299836295,0.95140000000000002,0.18697892408370972
33,0.9509999999727522,0.16843011581897735,0.94709999996821082,0.20909893387158712
34,0.95228571424484254,0.16667176023210797,0.94483333336512243,0.21152536436716715
35,0.95439999998637604,0.15788372168881554,0.94879999996821085,0.20719203571478526
