epoch,loss,acc,val_loss,val_acc
1,2.8096,0.0922,2.7653,0.0963
2,2.7350,0.1024,2.6259,0.1092
3,2.4422,0.1396,2.4250,0.1640
4,2.3658,0.1927,2.3115,0.2036
5,2.2132,0.2408,2.1396,0.2652
6,2.0830,0.2863,2.0537,0.2953
7,1.9708,0.3278,1.9612,0.3259
8,1.8755,0.3603,1.9006,0.3504
9,1.7919,0.3911,1.8343,0.3752
10,1.7202,0.4175,1.7942,0.3914
11,1.6532,0.4407,1.7494,0.4122
12,1.5985,0.4599,1.7070,0.4295
